,K_10,K_15,K_20,K_25,K_30,K_35,K_40,K_45,K_50,K_55,K_60,K_65,K_70,K_75,K_80,K_85,K_90,K_95,K_100
Fold_1,0.6666666666666666,0.6,0.6,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.6,0.7333333333333333,0.6666666666666666,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333
Fold_2,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.6428571428571429,0.5
Fold_3,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5,0.6428571428571429,0.5714285714285714,0.42857142857142855,0.5714285714285714
Fold_4,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.5,0.5714285714285714,0.6428571428571429,0.5,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714
Fold_5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5,0.5,0.5714285714285714,0.5,0.5714285714285714,0.6428571428571429,0.5,0.5714285714285714,0.5714285714285714,0.5
Fold_6,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.6
Fold_7,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.5714285714285714
Fold_8,0.6428571428571429,0.5,0.42857142857142855,0.6428571428571429,0.5,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5,0.5,0.6428571428571429,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5,0.5714285714285714,0.6428571428571429
Fold_9,0.5,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5
Fold_10,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.5714285714285714,0.7857142857142857
Fold_11,0.6,0.8,0.8,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8,0.7333333333333333,0.8666666666666667,0.8,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
Fold_12,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429
