accuracy,precision,recall,f1,roc_auc,bootstrap
0.7605714285714285,0.7771850371850371,0.8325,0.7945715419771147,0.8711011904761905,1
0.796952380952381,0.8110356865356866,0.8675,0.8288565588178592,0.894315476190476,2
0.8268571428571428,0.8529531024531025,0.85,0.8413987644622318,0.920982142857143,3
0.7985714285714286,0.8186955266955266,0.84,0.8231130541285339,0.8977380952380952,4
0.8219047619047619,0.8583470418470418,0.8275,0.8332363809221394,0.9154761904761906,5
0.7979999999999999,0.8144314574314575,0.8575,0.8281084838793816,0.9032738095238096,6
0.8403809523809523,0.8730007215007215,0.855,0.8575135255181694,0.9182738095238097,7
0.8500952380952381,0.8674559884559884,0.875,0.8665960111439988,0.943392857142857,8
0.7885714285714285,0.8140353535353536,0.82,0.8109415185777415,0.8986011904761904,9
0.8378095238095236,0.845386002886003,0.895,0.8605974759674448,0.9440178571428571,10
0.8550476190476191,0.8536782106782108,0.91,0.8761248483198947,0.9372916666666667,11
0.7693333333333334,0.792782772782773,0.83,0.7976714826281389,0.8780357142857143,12
0.7974285714285714,0.823616883116883,0.8325,0.8214539157093336,0.9070535714285716,13
0.7409523809523807,0.7764314574314575,0.78,0.7693427195439578,0.8614880952380952,14
0.7919999999999999,0.8006439116439117,0.8575,0.8222330449048714,0.8860714285714286,15
0.7717142857142858,0.8067225552225554,0.815,0.8005460726064441,0.9009523809523808,16
0.8029523809523808,0.8335981240981241,0.835,0.8263869269705182,0.9076190476190475,17
0.8447619047619047,0.9149126984126984,0.815,0.8521582110699757,0.9536309523809523,18
0.7336190476190475,0.7670735375735376,0.785,0.7659047524542879,0.8795238095238096,19
0.8482857142857143,0.8678160173160174,0.885,0.867849920805029,0.9434226190476191,20
0.8747619047619046,0.9035057720057719,0.8825,0.8846872372553485,0.9497916666666666,21
0.8236190476190477,0.8261507936507937,0.88,0.8468935933347698,0.9343750000000002,22
0.7897142857142856,0.7992842712842713,0.8525,0.8183256444278116,0.9080059523809524,23
0.8570476190476191,0.8957857142857142,0.855,0.8676496803849746,0.9460714285714286,24
0.8456190476190474,0.8722359307359308,0.86,0.858691239788763,0.9407440476190477,25
0.8094285714285712,0.8394098124098123,0.845,0.8313280939906327,0.9089880952380953,26
0.7820952380952381,0.7945562770562771,0.845,0.8117312039525661,0.9034523809523809,27
0.7683809523809524,0.8049112554112555,0.8025,0.7949380219024182,0.8749404761904761,28
0.7927619047619048,0.8114397269397269,0.86,0.8200855369260942,0.9234821428571429,29
0.7915238095238095,0.8269721944721945,0.82,0.8138523401263339,0.8892559523809525,30
0.7665714285714286,0.7875555555555555,0.83,0.8004793129127493,0.8709523809523809,31
0.8523809523809525,0.8610966810966812,0.895,0.8709730585891574,0.9500892857142857,32
0.7861904761904762,0.8140728715728716,0.825,0.8086855846252131,0.8954166666666667,33
0.8140952380952379,0.8524285714285713,0.82,0.8299223586870644,0.9201488095238096,34
0.8285714285714285,0.8440245310245309,0.8725,0.8498933646333025,0.9477976190476192,35
0.8319047619047617,0.863625874125874,0.86,0.8510581638863373,0.9256547619047619,36
0.8183809523809523,0.8512395382395381,0.83,0.8304758956214064,0.9324404761904761,37
0.8708571428571428,0.8895772005772006,0.8925,0.8847851491473783,0.9465773809523809,38
0.8264761904761905,0.8526392496392495,0.86,0.8465635695573774,0.9158035714285714,39
0.796,0.8202777777777776,0.835,0.818196598207434,0.9199999999999998,40
0.8179047619047617,0.8469105339105338,0.845,0.8386113360323887,0.9233630952380952,41
0.773809523809524,0.827113997113997,0.775,0.7886867023585288,0.9033035714285715,42
0.7969523809523809,0.8148715728715729,0.8475,0.8222900917452001,0.8972321428571429,43
0.8003809523809524,0.8208838383838384,0.8475,0.825805235184492,0.9128869047619048,44
0.8253333333333334,0.876103896103896,0.8275,0.8374754230977141,0.9388095238095238,45
0.857904761904762,0.8737265512265512,0.8975,0.8772989354986258,0.9378869047619047,46
0.8522857142857144,0.8365497835497835,0.935,0.8766951957571151,0.9560119047619047,47
0.886095238095238,0.9006565656565657,0.9125,0.9007841436169609,0.9561904761904763,48
0.7888571428571428,0.8190073260073261,0.83,0.8131534870358399,0.9074107142857144,49
0.801142857142857,0.8071370851370852,0.87,0.8313731387291756,0.9111309523809524,50
0.8373333333333334,0.8732518037518037,0.84,0.8462962818055696,0.9353273809523809,51
0.7889523809523808,0.8167402042402042,0.83,0.8160750651137647,0.9100892857142857,52
0.7366666666666667,0.7711096681096682,0.785,0.7673491568630887,0.8422916666666667,53
0.844190476190476,0.8574105339105338,0.87,0.8582778231400522,0.9316964285714286,54
0.8194285714285715,0.8489126984126986,0.84,0.8380592903828198,0.9168452380952381,55
