Feature_Name,Mean_Importance,Std_Importance,Min_Importance,Max_Importance,max_features
Edge218,0.056413282578629376,0.0036105583224316736,0.05344096805060195,0.06136006678246574,2
Edge20,0.046094137263755434,,0.046094137263755434,0.046094137263755434,2
Edge67,0.04529841801577647,,0.04529841801577647,0.04529841801577647,2
Edge323,0.04459553264176686,0.009284516721690365,0.025392538711918808,0.06164025486758238,2
Edge139,0.04396349781754293,0.009235583587464033,0.02878770579910734,0.05652487075532344,2
Edge4,0.041675273551202666,0.008828102806679547,0.02897308010301878,0.06343902286535609,2
Edge116,0.04079318794014051,0.0061872097739966055,0.024677047071444257,0.055235550814019506,2
Edge80,0.04074566367978963,0.011550061585907413,0.024779942409331797,0.06858408603266428,2
Edge134,0.04029224331007686,,0.04029224331007686,0.04029224331007686,2
Edge204,0.040000422482264104,0.0074270660513659935,0.02937576274609053,0.059358891439331554,2
Edge65,0.03932883737194099,,0.03932883737194099,0.03932883737194099,2
Edge251,0.03863755444927077,0.009883883801332495,0.022890493007148235,0.06708302370435008,2
Edge259,0.038260873622950775,0.008603331634307026,0.02241905194192174,0.0543586576767503,2
Edge300,0.03787239748571396,0.010203970753054563,0.019285591985210564,0.04933556528472162,2
Edge117,0.037808317283788515,0.0070455709326156715,0.02355239411690679,0.054174461500240856,2
Edge6,0.03756987489481075,0.00846839013410657,0.022953440507652426,0.05915760978796873,2
Edge201,0.037069860517354704,0.007808720494208392,0.020642160859863864,0.05011070189846537,2
Edge232,0.03698838270840045,0.008444363850268411,0.017404993850723877,0.056222882424281015,2
Edge89,0.03657504586375163,,0.03657504586375163,0.03657504586375163,2
Edge54,0.03645768714494051,0.009789106671050733,0.017099437989385315,0.05607537797808029,2
Edge153,0.03631885587400843,0.0055350088967556265,0.03200803103781587,0.044438960203465716,2
Edge268,0.036236054249923,0.012750694616757789,0.02726969364832057,0.05510796412061376,2
Edge15,0.03618857987631153,,0.03618857987631153,0.03618857987631153,2
Edge211,0.03618037316197712,,0.03618037316197712,0.03618037316197712,2
Edge28,0.036073448903088626,0.010640275431572251,0.020996742364789957,0.04480303885371878,2
Edge135,0.03585749388387487,0.009075367902099469,0.020030798701333615,0.055077469996820665,2
Edge76,0.03560060232429787,0.008364034985600599,0.015562463425171072,0.057266655195671305,2
Edge149,0.03553740565556958,,0.03553740565556958,0.03553740565556958,2
Edge306,0.03550463379148512,0.0038563372301883255,0.03277779158547681,0.038231475997493436,2
Edge270,0.035394080070479686,0.011207324429666944,0.027469304967304535,0.043318855173654844,2
Edge281,0.035291027290459555,0.011048128343678302,0.023733130971772563,0.04574677076425173,2
Edge68,0.03511687651834116,0.00686711091644519,0.0201305136286674,0.05057211086817608,2
Edge136,0.03508505030363722,0.00965577262822613,0.019508043276791825,0.05226595802725448,2
Edge34,0.035041447806433944,0.004650904286160709,0.030322935393886686,0.04087471656685889,2
Edge74,0.03478567142477589,0.010596545495436847,0.016283370504080998,0.06211380242825465,2
Edge92,0.03460647661007894,,0.03460647661007894,0.03460647661007894,2
Edge280,0.03453281677462823,0.00547837744276903,0.02867047997036779,0.04701309487925307,2
Edge93,0.03447150910558971,,0.03447150910558971,0.03447150910558971,2
Edge49,0.03437890476141325,0.0050425301671664854,0.02794455073621041,0.043343148689635326,2
Edge145,0.03421075753002344,,0.03421075753002344,0.03421075753002344,2
Edge277,0.03419984312879147,,0.03419984312879147,0.03419984312879147,2
Edge194,0.03417484713843211,0.004025056787958002,0.03132870218900606,0.037020992087858154,2
Edge260,0.033969458284418094,0.008225131052979232,0.022004000420959815,0.04913743655836246,2
Edge311,0.03385638002386335,0.0020197973460291765,0.031563658456184536,0.03537308143314347,2
Edge265,0.03374624818846928,,0.03374624818846928,0.03374624818846928,2
Edge22,0.03361653797072158,,0.03361653797072158,0.03361653797072158,2
Edge237,0.03348085077794672,,0.03348085077794672,0.03348085077794672,2
Edge112,0.03343970859083342,0.00790770734148518,0.020956354088226836,0.041937135357993344,2
Edge295,0.03335283559843522,0.0073671567758725595,0.027005687314028744,0.042802178331889824,2
Edge315,0.03310654407849911,0.0011567902527441158,0.03228856984637325,0.03392451831062498,2
Edge284,0.03305938469895611,0.007469488889674535,0.020063777802144748,0.04483192686502843,2
Edge263,0.03303357631523003,0.007137550936925534,0.025827812675781096,0.04283145203586511,2
Edge39,0.0329789181195794,0.007208348569956012,0.01888852583046253,0.047340695156175595,2
Edge301,0.03284860141433351,0.007554160652123787,0.021489518713886317,0.044343977936941295,2
Edge75,0.03273331682394377,0.008968040317615012,0.016712922789942693,0.04901276329558664,2
Edge163,0.03246271482290028,,0.03246271482290028,0.03246271482290028,2
Edge249,0.03244871838003342,0.005933493969815386,0.026069661944624727,0.03780321309522421,2
Edge294,0.032431393008381,,0.032431393008381,0.032431393008381,2
Edge21,0.03230943753543292,0.005796050580192838,0.01923971422796311,0.042697482604367384,2
Edge296,0.03222776692968087,0.007235277576464444,0.021272442122051333,0.04584002458085608,2
Edge258,0.03212439474338224,,0.03212439474338224,0.03212439474338224,2
Edge187,0.03205645973493587,,0.03205645973493587,0.03205645973493587,2
Edge266,0.031871395994243566,0.006180748230274502,0.012785462480670627,0.04316418323124581,2
Edge111,0.03183014838205039,0.008079320067003444,0.023572908841381877,0.03971894223360747,2
Edge35,0.031802159060451106,,0.031802159060451106,0.031802159060451106,2
Edge1,0.031791316521524705,0.007875067494292898,0.019533069049432212,0.04469121708942663,2
Edge98,0.031691033144234305,,0.031691033144234305,0.031691033144234305,2
Edge178,0.031451703743300974,0.007474949615460075,0.020100903249301052,0.0425113509696745,2
Edge170,0.03138843265297908,0.009661656916192946,0.016825642500802655,0.045284747911622056,2
Edge290,0.03133027282041615,0.006416105542338719,0.015569322899547914,0.038469400439343805,2
Edge238,0.03132203647140386,0.005331174116125979,0.02338258688069831,0.038068763847352256,2
Edge101,0.031038116598385106,0.007723234305032545,0.01519772469357863,0.04983971279730767,2
Edge247,0.03093335750524327,0.002420683603684842,0.029221675713970628,0.03264503929651591,2
Edge165,0.030910982874546772,0.00631301097235587,0.017900958136276183,0.04224983178006816,2
Edge171,0.030810784735402903,0.007903222748838657,0.01503860787730907,0.04451555504994885,2
Edge164,0.030706906008966812,0.005668134117077232,0.026698929938106675,0.034714882079826946,2
Edge86,0.030553764761603867,0.006261611279270398,0.02078464792121269,0.03732459794289786,2
Edge41,0.03052334726795994,0.010418863188861626,0.020548542385580095,0.0467617136809496,2
Edge188,0.03051457299160945,0.006093803663145734,0.024563326273377203,0.04052860762074712,2
Edge191,0.030431369459126514,0.005257816807311956,0.023163274935947834,0.03852307641375596,2
Edge233,0.030393534844853732,0.014637657957294407,0.016935339164317265,0.04597806927757953,2
Edge152,0.030376648315220023,0.0077429977565116066,0.012460239994261461,0.051442750920469696,2
Edge115,0.030142509513645645,0.004759947472902694,0.022677037227732694,0.03633898126882983,2
Edge69,0.029764740739502332,0.006162510883297987,0.020899210605917228,0.03906969063359941,2
Edge11,0.02975577086257404,0.006762341733842694,0.021775365823399062,0.03618474027458747,2
Edge79,0.02972004674898391,0.008542404104336892,0.0210704871083385,0.04217548616829828,2
Edge70,0.029632671850374926,0.007095189077670766,0.016688702418661158,0.04486188224104083,2
Edge203,0.029519366258715582,,0.029519366258715582,0.029519366258715582,2
Edge58,0.02944735376793682,0.005985088227703688,0.015909296340666595,0.040765514405802845,2
Edge168,0.029427445424478768,0.007778827466359035,0.02112137276609656,0.052093686327149974,2
Edge45,0.029423648957752974,0.007048443639612002,0.014818725275821176,0.038768571425182176,2
Edge140,0.029272888214842023,0.006149143223939379,0.023295965813724707,0.03862332653888866,2
Edge71,0.02924913484175783,,0.02924913484175783,0.02924913484175783,2
Edge133,0.029186397427480575,0.006005417586942933,0.01994062814514715,0.038190740436336704,2
Edge175,0.029148893693107785,0.011140772962386483,0.01413200510058326,0.046940929036257226,2
Edge118,0.029096770775899245,,0.029096770775899245,0.029096770775899245,2
Edge119,0.028962435444364176,,0.028962435444364176,0.028962435444364176,2
Edge179,0.02888333270368198,0.00811128230487204,0.014391501225584817,0.038959186073663096,2
Edge202,0.028835971173972075,0.007353817840626064,0.01938282829989229,0.04506199775646091,2
Edge321,0.028828977350217513,0.00103776982820406,0.028095163267383625,0.029562791433051405,2
Edge197,0.028611352134426265,,0.028611352134426265,0.028611352134426265,2
Edge132,0.028561821818160058,0.0051051338409785815,0.02131065971189822,0.036343588042192516,2
Edge24,0.02844161831043248,0.004828839074995403,0.023359383410537646,0.03297731171428327,2
Edge231,0.028403037083291543,,0.028403037083291543,0.028403037083291543,2
Edge18,0.028359543770783913,0.008972038113015167,0.02253719449335455,0.041679111918823196,2
Edge97,0.028194356080775508,0.00571339454276061,0.019184753005239197,0.039785343635972165,2
Edge254,0.028099663667616792,0.007249971573093292,0.01546248082969538,0.033470164522912245,2
Edge216,0.0277599218487415,0.0031901825911760905,0.02310109505950936,0.03376279874689438,2
Edge318,0.027756413731911605,0.005239450791490862,0.018273586172677398,0.03412256818666495,2
Edge48,0.027692797222634857,0.0024885301776010455,0.025637719398109136,0.03200069700732885,2
Edge224,0.027588236482050207,0.0014249868765453487,0.026580618598543153,0.02859585436555726,2
Edge127,0.027454174991610302,0.009099651175834528,0.019674715792445233,0.03853103433211764,2
Edge60,0.02745319426115713,0.002709330606620713,0.02398984448140747,0.03063156392478825,2
Edge156,0.027364520696519023,0.007873528201344484,0.015480032441829664,0.03892559047622876,2
Edge316,0.027351976542083187,0.0071653462215150576,0.015286366016562858,0.03920551183369084,2
Edge12,0.0270653069039119,,0.0270653069039119,0.0270653069039119,2
Edge10,0.026992582635772117,0.00259232991157536,0.02275730490295049,0.029854438375439562,2
Edge14,0.02697327115425409,5.285854207342164e-07,0.02697289738791865,0.026973644920589526,2
Edge269,0.026812670349988906,0.007503759524391128,0.016808236015784985,0.033839259551077534,2
Edge130,0.026701187537287306,0.00551402590165323,0.02280218243059004,0.030600192643984572,2
Edge150,0.026645623884913913,0.0014361238234877286,0.025630130990702188,0.02766111677912564,2
Edge147,0.02651318211046423,0.004688637604658689,0.019601724626390402,0.03443220379423639,2
Edge123,0.02647276730036517,,0.02647276730036517,0.02647276730036517,2
Edge206,0.02643210875249348,,0.02643210875249348,0.02643210875249348,2
Edge317,0.026353633843600885,0.006645794630434057,0.014971348913828352,0.03757390771688233,2
Edge230,0.026237443981063008,0.004835771205245151,0.02015040518931182,0.034984140419851074,2
Edge103,0.025974810631837337,0.005399719796851013,0.021528502975758333,0.034916544761103646,2
Edge131,0.025960331745219684,0.005724165932577253,0.02123770437491834,0.039149123840481824,2
Edge209,0.02587180135689708,0.002091173880809937,0.024393118125136184,0.027350484588657974,2
Edge5,0.02585715722201166,,0.02585715722201166,0.02585715722201166,2
Edge244,0.025803942316471085,0.005210783314612489,0.01817053443197148,0.03636409410454638,2
Edge90,0.025756524528783548,,0.025756524528783548,0.025756524528783548,2
Edge305,0.02555957443289756,0.0047050192570993535,0.0204122507226122,0.034230031577726396,2
Edge114,0.0254010712330758,,0.0254010712330758,0.0254010712330758,2
Edge32,0.025261289396355177,,0.025261289396355177,0.025261289396355177,2
Edge227,0.024945843929438695,0.00675618935093453,0.02016849662441255,0.029723191234464843,2
Edge320,0.024579938305514554,0.004638948903480219,0.019886219967973025,0.030585205422066178,2
Edge40,0.024236963513977763,0.0007164347594222099,0.023730367637312566,0.02474355939064296,2
Edge189,0.023931442007248255,,0.023931442007248255,0.023931442007248255,2
Edge64,0.023330253534572208,0.00741092687213791,0.016052107687853867,0.03470735451325938,2
Edge59,0.023270366206770934,0.005055957645078993,0.01922622158229594,0.028938858462059455,2
Edge181,0.022689126244147893,,0.022689126244147893,0.022689126244147893,2
Edge169,0.022649419635226795,0.0036420357894582727,0.017960209399347466,0.029638662965883474,2
Edge185,0.02264492854931826,0.0048958191693094155,0.010880856357193805,0.030611686909240918,2
Edge52,0.02066217211258516,0.0004193276151288664,0.020365662712388755,0.020958681512781564,2
Edge109,0.020111328026524388,,0.020111328026524388,0.020111328026524388,2
Edge325,0.019564075264017364,,0.019564075264017364,0.019564075264017364,2
Edge257,0.019410869381314675,0.004613632606456334,0.016148538479386035,0.022673200283243315,2
Edge7,0.01939740194399579,,0.01939740194399579,0.01939740194399579,2
Edge126,0.0188292845573394,0.005720689774830972,0.014784146024491875,0.022874423090186925,2
Edge20,0.07079091525593627,,0.07079091525593627,0.07079091525593627,3
Edge218,0.059651953690652515,0.01008763224079157,0.05345764851615634,0.0747114114941033,3
