Rank,Feature_Name,MWU_Score
1,Edge116,2.2141026408291613
2,Edge39,2.150780916132316
3,Edge323,2.109082556417139
4,Edge97,1.6224438985515475
5,Edge74,1.550478252336899
6,Edge117,1.5151000159931183
7,Edge136,1.5151000159931183
8,Edge76,1.4975617136632677
9,Edge80,1.4801238265152872
10,Edge101,1.4284116727953482
11,Edge204,1.4113744577597784
12,Edge232,1.4113744577597784
13,Edge135,1.3775996712963479
14,Edge75,1.3442237165167081
15,Edge1,1.3276850368989381
16,Edge70,1.3276850368989381
17,Edge277,1.2305362733966942
18,Edge301,1.091468373828698
19,Edge260,1.0765061772556053
20,Edge54,1.0468741532841632
21,Edge133,1.0031550796550919
22,Edge171,0.9887759121788804
23,Edge115,0.9887759121788804
24,Edge140,0.9603075458879256
25,Edge175,0.9603075458879256
26,Edge152,0.9462180695164822
27,Edge145,0.9462180695164822
28,Edge197,0.9462180695164822
29,Edge269,0.9462180695164822
30,Edge58,0.9462180695164822
