max_features,accuracy,precision,recall,roc_auc
2,0.6406666666666666,0.6607276057276057,0.7625,0.6827976190476189
3,0.634,0.6651309246309246,0.7325,0.6875297619047619
4,0.6402857142857142,0.6649249084249084,0.765,0.6807440476190477
5,0.6390476190476191,0.6662417027417027,0.7525,0.6879761904761905
6,0.6328571428571429,0.6616623376623377,0.7375,0.6751785714285716
7,0.6372380952380952,0.674530303030303,0.7225,0.6762202380952381
8,0.6306666666666667,0.6627626262626264,0.72,0.6624702380952381
9,0.6305714285714284,0.6554220779220779,0.735,0.6664583333333334
10,0.6221904761904762,0.6578232323232324,0.7175,0.6588095238095238
11,0.6151428571428572,0.6501616161616162,0.7125,0.657202380952381
12,0.6138095238095238,0.6468839493839493,0.7125,0.6659226190476191
13,0.6181904761904761,0.6524907314907314,0.7225,0.6649702380952381
14,0.6164761904761904,0.650137196137196,0.7125,0.6534226190476191
15,0.6109523809523809,0.6488124098124097,0.6975,0.6533928571428572
16,0.6068571428571429,0.6419126984126984,0.7025,0.6558035714285715
17,0.6093333333333333,0.6416666666666666,0.71,0.6458035714285715
18,0.6095238095238095,0.6469372294372294,0.7025,0.6490178571428572
19,0.6067619047619047,0.6499350649350649,0.695,0.6461607142857143
20,0.6112380952380952,0.645021645021645,0.7075,0.650297619047619
21,0.6165714285714285,0.6552518037518037,0.7025,0.6516369047619047
22,0.621047619047619,0.6458102453102452,0.735,0.6479166666666668
23,0.615047619047619,0.6517849927849929,0.7075,0.647797619047619
24,0.6161904761904762,0.650030636030636,0.7125,0.6360416666666667
25,0.6133333333333333,0.6457663447663449,0.7025,0.6378571428571429
26,0.6121904761904762,0.6531645021645022,0.6925,0.6411309523809524
27,0.6034285714285714,0.6418236763236763,0.695,0.6413095238095238
28,0.6121904761904763,0.6415782550782552,0.71,0.6481547619047618
29,0.6177142857142858,0.6522474747474747,0.7075,0.6505952380952381
