Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04459553264176686,2
Edge204,47,0.040000422482264104,2
Edge232,47,0.03698838270840045,2
Edge68,47,0.03511687651834116,2
Edge80,41,0.04074566367978963,2
Edge70,41,0.029632671850374926,2
Edge201,39,0.037069860517354704,2
Edge74,39,0.03478567142477589,2
Edge76,38,0.03560060232429787,2
Edge21,38,0.03230943753543292,2
Edge171,38,0.030810784735402903,2
Edge116,36,0.04079318794014051,2
Edge266,33,0.031871395994243566,2
Edge260,32,0.033969458284418094,2
Edge39,32,0.0329789181195794,2
Edge4,30,0.041675273551202666,2
Edge152,28,0.030376648315220023,2
Edge101,26,0.031038116598385106,2
Edge323,50,0.045379853171670675,3
Edge204,47,0.04256616653585521,3
Edge232,47,0.03962329848462414,3
Edge68,47,0.036316706794548,3
Edge80,41,0.04071830612226552,3
Edge70,41,0.025795471965327606,3
Edge201,39,0.03999568471241003,3
Edge74,39,0.039649482822369526,3
Edge76,38,0.03448270805111242,3
Edge21,38,0.030771517338779416,3
Edge171,38,0.02921283294811306,3
Edge116,36,0.043603849325137306,3
Edge266,33,0.029724662297190438,3
Edge39,32,0.0339316024127395,3
Edge260,32,0.03384158881647854,3
Edge4,30,0.04295934857350859,3
Edge152,28,0.028957535091841742,3
Edge101,26,0.027122717333685133,3
Edge323,50,0.05011248260465231,4
Edge204,47,0.043431310239684995,4
Edge232,47,0.04024046831195853,4
Edge68,47,0.033848011535774644,4
Edge80,41,0.042715948673122645,4
Edge70,41,0.025509465842467174,4
Edge74,39,0.039513992413008216,4
Edge201,39,0.03805489511302657,4
Edge76,38,0.03481338533535001,4
Edge171,38,0.029121940603022825,4
Edge21,38,0.029115130011184383,4
Edge116,36,0.04305690663694011,4
Edge266,33,0.02902605232984486,4
Edge260,32,0.036085386379846825,4
Edge39,32,0.03295910089473248,4
Edge4,30,0.0447213699677111,4
Edge152,28,0.02878481680150627,4
Edge101,26,0.026741680598536925,4
Edge323,50,0.051979502133398775,5
Edge204,47,0.04388260655079151,5
Edge232,47,0.041248283414773525,5
