Feature_Name,Frequency,Importance
Edge323,50,0.051979502133398775
Edge204,47,0.04388260655079151
Edge232,47,0.041248283414773525
Edge68,47,0.036972974365446235
Edge80,41,0.0411973209135003
Edge70,41,0.026033220071783887
Edge74,39,0.04047198214672581
Edge201,39,0.03943953632555398
Edge76,38,0.0360841010746318
Edge21,38,0.02967549312686423
Edge171,38,0.029154925586971355
Edge116,36,0.046102053007405934
Edge266,33,0.027763610099015228
Edge260,32,0.037282626188406394
Edge39,32,0.03390285565163687
Edge4,30,0.04707127188014239
Edge152,28,0.0253817161421567
Edge101,26,0.028358168703627264
