Feature_Name,Frequency,Mean_Importance,max_features
Edge323,50,0.04531155825245475,9
Edge204,47,0.04877258115728537,9
Edge232,47,0.04317245586752942,9
Edge68,47,0.03404669754649435,9
Edge80,41,0.046869125610040425,9
Edge70,41,0.020844766567969502,9
Edge74,39,0.044793754993941226,9
Edge201,39,0.0418691196362506,9
Edge76,38,0.03526402342638126,9
Edge21,38,0.029503708254583278,9
Edge171,38,0.026892816300918432,9
Edge116,36,0.047924468029486085,9
Edge266,33,0.02739858479861662,9
Edge260,32,0.04196826368240511,9
Edge39,32,0.03276767297985142,9
Edge4,30,0.053817874909339085,9
Edge152,28,0.025502927744935656,9
Edge101,26,0.02205895500135182,9
