degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color,second order clustering,eccentricity,information centrality,current flow betweenness centrality,approx. current flow betweenness centrality
13,0.52,0.007790747827226492,0.5208333333333334,0.041409394430957064,0.8363636363636363,11.923076923076923,0.007487465356512976,7318.316315866079,16.583333333333336,9,4,0.5942492012779552,4,40.162706379697134,4,0.1527889329038411,0.0925048071059182,0.06602854124331724
13,0.52,0.007790747827226492,0.5208333333333334,0.041409394430957064,0.8363636363636363,11.923076923076923,0.007487465356512976,7318.31631586607,16.583333333333336,9,4,0.5942492012779552,5,40.162706379697134,4,0.1527889329038411,0.09250480710591816,0.0722007285014527
5,0.2,0.009074628826227291,0.45454545454545453,0.020287721011309608,0.3333333333333333,7.8,0.010446428571428572,151.37718734958088,12.666666666666668,3,2,0.2972972972972973,0,81.64861806714416,3,0.07689876240423657,0.14996709584355244,0.04700932127603722
11,0.44,0.019142156862745098,0.4716981132075472,0.04039680615473382,0.6388888888888888,9.272727272727273,0.019105158730158733,1155.3091639108584,15.083333333333336,7,4,0.42073170731707316,5,46.99946281864413,4,0.13690530709362575,0.19528511904518225,0.06441721582691451
11,0.44,0.020526936026936025,0.5319148936170213,0.036591560814407,0.6944444444444444,11.181818181818182,0.021962301587301593,4248.968559910191,16.000000000000004,8,3,0.4788732394366197,6,44.03978174005017,3,0.14362711246631052,0.12281465581071435,0.09191799132631966
11,0.44,0.10382012103051275,0.5952380952380952,0.03705025625776541,0.5,11.181818181818182,0.10800363756613757,2547.3030486179023,16.833333333333332,6,3,0.236084452975048,5,40.35336514815277,3,0.15235480422957942,0.21331544162369412,0.15262644144911397
14,0.56,0.027101176836504613,0.5813953488372093,0.044558687714435725,0.7424242424242424,11.857142857142858,0.028308232552280165,8033.857823638379,17.66666666666667,9,5,0.5063938618925832,1,37.202789870869445,3,0.15994707154882132,0.11422246472807039,0.10385600604580748
12,0.48,0.019043484104225794,0.5434782608695652,0.03862194415967297,0.8,11.666666666666666,0.02085496976568405,5737.601092160218,16.500000000000004,8,4,0.5399239543726235,2,41.97703587850993,3,0.14846657730766913,0.09904787629586596,0.08247860256819405
5,0.2,0.002751633986928105,0.4716981132075472,0.018983888754019462,0.6666666666666666,9.4,0.0030509259259259257,475.5212962873993,13.000000000000002,3,2,0.3191489361702128,2,79.18166833051258,3,0.0800003943205524,0.09369379732554625,0.04024051930187962
14,0.56,0.16543838151100235,0.6578947368421053,0.04820939668763867,0.3787878787878788,10.785714285714286,0.16621825396825401,4073.1545170016593,18.5,6,7,0.21118721461187215,1,32.180868417694036,2,0.17224894695939694,0.271884945167343,0.19063006689943743
