degree,degree centrality,betweenness centrality,closeness centrality,pagerank centrality,local clustering,avg neighbour degree,load centrality,subgraph centrality,harmonic centrality,node clique number,number of cliques,square clustering,greedy color,second order clustering,eccentricity,information centrality,current flow betweenness centrality,approx. current flow betweenness centrality
21,0.84,0.016955712316006434,0.8064516129032258,0.0380625329806602,0.8362573099415205,21.142857142857142,0.016941006433653493,75343020.14876007,22.0,15,7,0.7060097455332972,12,31.099694723044887,2,0.3729554854365102,0.0783550413140609,0.06578063643255873
26,1.04,0.014622809108103228,0.9615384615384616,0.04538349459811347,0.8188405797101449,21.346153846153847,0.014554310694751868,120075158.55509073,24.5,16,17,0.7104233973813977,0,24.83392165248133,2,0.41560958075220195,0.07395532261376545,0.06444194046274096
17,0.68,0.007698005698005699,0.7142857142857143,0.03166998237976596,0.9047619047619048,21.235294117647058,0.007723856209150327,49470493.672922365,20.0,15,2,0.7465034965034965,8,37.67430352744226,2,0.3288727736941727,0.06919818205574645,0.05854152670726465
21,0.84,0.01751660376660377,0.8064516129032258,0.037942706023701325,0.8596491228070176,21.428571428571427,0.01757398184604067,77835930.20562917,22.0,15,6,0.7274689692390718,13,31.10367141134135,2,0.372928099558089,0.07629820683928225,0.06693383092599595
24,0.96,0.007782177517471635,0.8928571428571429,0.042018001159415,0.8701298701298701,21.791666666666668,0.0077731501885913625,106785033.89664467,23.5,16,15,0.7465836012861736,8,27.274389379146854,2,0.3993808320143851,0.0675931249854526,0.05750828643025719
22,0.88,0.004457460567754685,0.8333333333333334,0.038758774804469966,0.9105263157894737,21.90909090909091,0.004551955642396818,91257866.78198619,22.5,16,9,0.7792494481236203,14,29.88590777944368,2,0.38130873248679686,0.061727904850009604,0.0458956861190893
20,0.8,0.0023704272307213483,0.78125,0.03555551854504581,0.9411764705882353,22.0,0.002539142067083243,76159021.94404785,21.5,16,4,0.806392694063927,9,32.730285124412624,2,0.3617776880269564,0.05740530077465568,0.04058223263188613
25,1.0,0.011090027075321196,0.9259259259259259,0.04369092560652649,0.8458498023715415,21.6,0.011021528661969836,113757242.49158135,24.0,16,14,0.7304075235109718,5,26.06758747162759,2,0.407713819484911,0.07043832786184605,0.05747491950994664
20,0.8,0.013682895807895808,0.78125,0.03647590256873359,0.8496732026143791,21.15,0.013635593981182215,68332651.09136444,21.5,15,5,0.7170096852300242,14,32.58181437848693,2,0.36280440297959043,0.07633071253311238,0.06889989055531372
26,1.04,0.014622809108103228,0.9615384615384616,0.04538349459811347,0.8188405797101449,21.346153846153847,0.014554310694751868,120075158.55509046,24.5,16,17,0.7104233973813977,1,24.833921652481337,2,0.4156095807522019,0.07395532261376549,0.06715027379607427
26,1.04,0.014622809108103228,0.9615384615384616,0.04538349459811347,0.8188405797101449,21.346153846153847,0.014554310694751868,120075158.55509046,24.5,16,17,0.7104233973813977,2,24.83392165248134,2,0.4156095807522017,0.07395532261376554,0.06715027379607429
26,1.04,0.014622809108103228,0.9615384615384616,0.04538349459811347,0.8188405797101449,21.346153846153847,0.014554310694751868,120075158.55509047,24.5,16,17,0.7104233973813977,3,24.833921652481337,2,0.4156095807522019,0.07395532261376561,0.06715027379607427
24,0.96,0.0266994731847673,0.8928571428571429,0.04281283022561095,0.8095238095238095,21.125,0.02667825230325231,98977840.2523169,23.5,15,13,0.6925095901473854,9,27.13789503410751,2,0.400337567835502,0.08395345131786601,0.06962114801448875
25,1.0,0.010526618261912379,0.9259259259259259,0.043700553224491005,0.8458498023715415,21.6,0.010499642215083387,113637315.83420496,24.0,16,16,0.72849511880641,6,26.061807912254082,2,0.4077537974122069,0.0711987453388464,0.06015166894266955
15,0.6,0.0,0.6578947368421053,0.027720100112790906,1.0,21.6,0.0,41182032.652554415,18.833333333333332,14,1,0.8522522522522522,6,41.864860931212725,3,0.3024994543629352,0.03506112952102119,0.0320582078316831
23,0.92,0.00628837828837829,0.8620689655172413,0.04042388861087664,0.8857142857142857,21.91304347826087,0.006261402241549298,98996020.68727764,23.0,16,10,0.7575357535753575,10,28.487902914268318,2,0.39098236619159404,0.0662065268607603,0.057893877030657195
26,1.04,0.014622809108103228,0.9615384615384616,0.04538349459811347,0.8188405797101449,21.346153846153847,0.014554310694751868,120075158.5550904,24.5,16,17,0.7104233973813977,4,24.83392165248133,2,0.4156095807522017,0.07395532261376558,0.06444194046274096
23,0.92,0.005684922920217039,0.8620689655172413,0.04038698077322384,0.8952380952380953,22.043478260869566,0.005657946873388048,100071979.35068159,23.0,16,11,0.7636483227362421,11,28.48900463265516,2,0.39097477440837025,0.06533327730513448,0.046404670386655036
15,0.6,0.0011953601953601952,0.6756756756756757,0.02787752287164354,0.9358974358974359,21.4,0.001195360195360195,39641372.94695437,19.0,12,3,0.7903981264637002,5,41.72764232983353,2,0.3033382731405255,0.053604034084361714,0.03545966925391857
23,0.92,0.006488494348788468,0.8620689655172413,0.04039065800605954,0.8857142857142857,21.82608695652174,0.006527077742518916,98734123.51809248,23.0,16,10,0.7619153181112835,12,28.546532644685698,2,0.3905747106783947,0.06455196993293373,0.04878025322789832
21,0.84,0.005586371961371963,0.8064516129032258,0.03727360338101363,0.8888888888888888,21.714285714285715,0.005686402241549299,81224046.15487495,22.0,16,5,0.7658245042108123,10,31.220043797180708,2,0.37211362243022816,0.06205498260621647,0.05257765817523377
25,1.0,0.011090027075321196,0.9259259259259259,0.04369092560652649,0.8458498023715415,21.6,0.011021528661969836,113757242.49158125,24.0,16,14,0.7304075235109718,7,26.06758747162757,2,0.407713819484911,0.07043832786184599,0.056666175978911645
7,0.28,0.0,0.5319148936170213,0.016190093491183017,1.0,15.714285714285714,0.0,4328273.473090841,14.666666666666668,6,1,0.7754010695187166,0,75.54894321561945,3,0.15508837300604486,0.04824355053531453,0.012854803985475047
20,0.8,0.002228656963951081,0.7575757575757576,0.035563904770765466,0.9411764705882353,21.85,0.0022286569639510807,75373752.30625728,21.333333333333332,16,4,0.8051549555078245,15,32.772846097343965,3,0.3614871179304185,0.057560005272272625,0.04409276671573928
23,0.92,0.00757998619028031,0.8620689655172413,0.04045644209748738,0.8714285714285714,21.608695652173914,0.007680016470457645,96795406.91083573,23.0,16,11,0.75,13,28.563952343047486,2,0.3904533924244886,0.06591792750691003,0.05715709340916818
18,0.72,0.0019643550893550894,0.7352941176470589,0.03242067976944196,0.9416666666666667,22.055555555555557,0.002031945587092645,61629231.20636635,20.5,15,3,0.8198924731182796,11,35.889337044064554,2,0.34054784675243305,0.05560707670114732,0.03980754310244653
